SchoolDepartment,CourseTitle,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour,description,department_code,created_date,phone_number,email,Cluster
17,189,6,46,4,334,245,153,4,0,21,2126442882953,25,2
17,764,6,46,4,66,248,154,4,0,21,2126442882953,25,2
17,506,6,46,4,334,250,280,4,0,21,2126442882953,25,2
17,857,6,46,4,334,251,307,4,0,21,2126442882953,25,2
17,213,6,46,4,334,252,184,4,0,21,2126442882953,25,2
17,694,6,46,4,66,252,244,4,0,21,2126442882953,25,2
0,796,6,46,4,8,253,541,5,3,23,2124593511982,14,0
17,325,6,135,4,348,256,240,4,0,21,2126442882953,25,2
17,476,6,46,4,8,261,345,4,0,21,2126442882953,25,2
17,1591,6,130,4,346,263,267,4,0,21,2126442882953,25,2
17,110,6,141,4,319,263,268,4,0,21,2126442882953,25,2
17,1172,6,99,4,309,263,270,4,0,21,2126442882953,25,2
17,1012,6,80,4,144,264,288,4,0,21,2126442882953,25,2
17,1548,6,80,4,158,266,266,4,0,21,2126442882953,25,2
5,1365,6,46,4,8,268,155,11,2,8,2123731667078,19,0
5,179,6,46,4,8,271,361,11,2,8,2123731667078,19,0
5,180,6,99,4,303,271,362,11,2,8,2123731667078,19,0
17,1363,6,141,4,71,274,511,4,0,21,2126442882953,25,2
23,439,6,46,4,307,277,399,25,1,5,2121135897138,23,3
17,1678,6,46,4,334,278,288,4,0,21,2126442882953,25,2
20,1289,6,46,4,66,281,159,21,6,13,2126354892880,9,2
17,902,6,46,4,66,281,160,4,0,21,2126442882953,25,2
17,1342,6,46,4,66,281,161,4,0,21,2126442882953,25,2
17,1176,6,46,4,334,281,162,4,0,21,2126442882953,25,2
17,1774,6,116,4,32,281,166,4,0,21,2126442882953,25,2
17,1459,6,135,4,348,281,168,4,0,21,2126442882953,25,2
17,482,6,46,4,66,282,158,4,0,21,2126442882953,25,2
17,765,6,46,4,8,284,261,4,0,21,2126442882953,25,2
20,30,6,46,4,66,291,194,21,6,13,2126354892880,9,2
10,1158,6,46,4,8,293,305,15,5,10,2125785710374,18,2
10,1157,6,46,4,8,293,306,15,5,10,2125785710374,18,2
17,1085,6,46,4,8,293,307,4,0,21,2126442882953,25,2
17,1097,6,46,4,68,293,309,4,0,21,2126442882953,25,2
17,1661,6,141,4,372,293,310,4,0,21,2126442882953,25,2
17,1712,6,46,4,8,293,336,4,0,21,2126442882953,25,2
10,262,6,49,4,346,294,0,15,5,10,2125785710374,18,2
23,1781,6,134,4,34,297,0,25,1,5,2121135897138,23,3
17,1280,6,46,4,8,297,205,4,0,21,2126442882953,25,2
17,1170,6,46,4,8,297,206,4,0,21,2126442882953,25,2
17,1692,6,46,4,8,297,207,4,0,21,2126442882953,25,2
17,1034,6,46,4,335,299,0,4,0,21,2126442882953,25,2
17,1711,6,46,4,66,299,0,4,0,21,2126442882953,25,2
22,68,6,99,4,302,301,0,22,8,0,2124417252010,13,0
17,1800,6,149,4,71,302,0,4,0,21,2126442882953,25,2
17,846,6,51,4,337,302,0,4,0,21,2126442882953,25,2
17,1481,6,99,4,346,302,0,4,0,21,2126442882953,25,2
7,1625,6,99,4,324,303,0,3,9,22,2128993842957,1,1
17,357,6,141,4,372,303,0,4,0,21,2126442882953,25,2
17,410,6,141,4,372,303,0,4,0,21,2126442882953,25,2
17,109,6,139,4,372,303,0,4,0,21,2126442882953,25,2
17,132,6,50,4,41,303,0,4,0,21,2126442882953,25,2
17,151,6,141,4,372,304,0,4,0,21,2126442882953,25,2
23,1334,6,99,4,302,305,0,25,1,5,2121135897138,23,3
17,413,6,49,4,8,305,0,4,0,21,2126442882953,25,2
17,338,6,141,4,372,306,0,4,0,21,2126442882953,25,2
15,1642,6,99,4,302,306,0,17,10,20,2123785471084,8,0
24,1313,6,106,4,303,306,0,18,11,15,2122146311357,4,3
17,954,6,54,4,348,306,0,4,0,21,2126442882953,25,2
17,903,6,70,4,120,307,0,4,0,21,2126442882953,25,2
17,339,6,141,4,372,309,0,4,0,21,2126442882953,25,2
17,1056,6,46,4,334,310,0,4,0,21,2126442882953,25,2
17,621,6,130,4,347,310,0,4,0,21,2126442882953,25,2
17,985,6,71,4,119,337,0,4,0,21,2126442882953,25,2
10,262,6,49,4,346,337,225,15,5,10,2125785710374,18,2
23,1781,6,134,4,34,337,228,25,1,5,2121135897138,23,3
17,1173,6,114,4,359,337,230,4,0,21,2126442882953,25,2
17,1711,6,46,4,66,337,232,4,0,21,2126442882953,25,2
17,1034,6,46,4,335,337,237,4,0,21,2126442882953,25,2
17,1481,6,99,4,346,337,241,4,0,21,2126442882953,25,2
22,68,6,99,4,302,337,242,22,8,0,2124417252010,13,0
17,846,6,51,4,337,337,244,4,0,21,2126442882953,25,2
17,1800,6,149,4,71,337,246,4,0,21,2126442882953,25,2
17,132,6,50,4,41,337,251,4,0,21,2126442882953,25,2
17,109,6,139,4,372,337,252,4,0,21,2126442882953,25,2
17,410,6,141,4,372,337,253,4,0,21,2126442882953,25,2
17,357,6,141,4,372,337,254,4,0,21,2126442882953,25,2
7,1625,6,99,4,324,337,256,3,9,22,2128993842957,1,1
17,151,6,141,4,372,337,260,4,0,21,2126442882953,25,2
17,903,6,70,4,120,337,263,4,0,21,2126442882953,25,2
17,413,6,49,4,8,337,264,4,0,21,2126442882953,25,2
23,1334,6,99,4,302,337,265,25,1,5,2121135897138,23,3
17,954,6,54,4,348,337,266,4,0,21,2126442882953,25,2
24,1313,6,106,4,303,337,267,18,11,15,2122146311357,4,3
15,1642,6,99,4,302,337,270,17,10,20,2123785471084,8,0
17,338,6,141,4,372,337,271,4,0,21,2126442882953,25,2
23,1062,6,134,4,302,337,272,25,1,5,2121135897138,23,3
17,339,6,141,4,372,337,274,4,0,21,2126442882953,25,2
17,621,6,130,4,347,337,275,4,0,21,2126442882953,25,2
17,1056,6,46,4,334,337,276,4,0,21,2126442882953,25,2
17,985,6,71,4,119,337,314,4,0,21,2126442882953,25,2
11,1314,6,99,4,302,501,536,10,7,16,2129561774359,3,1
17,1083,8,80,2,182,113,574,4,0,21,2126442882953,25,2
17,646,8,94,2,84,142,350,4,0,21,2126442882953,25,2
17,1351,8,141,2,372,142,351,4,0,21,2126442882953,25,2
17,591,8,94,2,75,142,353,4,0,21,2126442882953,25,2
17,1211,8,141,2,180,142,354,4,0,21,2126442882953,25,2
17,1863,8,94,2,339,142,357,4,0,21,2126442882953,25,2
17,1384,8,94,2,392,142,359,4,0,21,2126442882953,25,2
17,438,8,94,2,338,142,363,4,0,21,2126442882953,25,2
17,1652,8,141,2,372,142,365,4,0,21,2126442882953,25,2
11,1128,8,141,2,372,142,377,10,7,16,2129561774359,3,1
5,854,8,130,2,351,142,389,11,2,8,2123731667078,19,0
20,1446,8,130,2,302,142,396,21,6,13,2126354892880,9,2
11,14,8,46,2,303,142,398,10,7,16,2129561774359,3,1
2,443,8,99,2,63,142,476,6,12,18,2122556657236,7,3
2,1063,8,141,2,71,143,326,6,12,18,2122556657236,7,3
17,1457,8,141,2,372,143,537,4,0,21,2126442882953,25,2
17,1720,8,135,2,348,146,266,4,0,21,2126442882953,25,2
17,1209,8,141,2,372,146,520,4,0,21,2126442882953,25,2
2,1533,8,99,2,302,147,345,6,12,18,2122556657236,7,3
17,1487,8,46,2,340,151,496,4,0,21,2126442882953,25,2
17,112,8,141,2,372,152,539,4,0,21,2126442882953,25,2
17,339,8,141,2,372,154,558,4,0,21,2126442882953,25,2
17,336,8,46,2,8,154,560,4,0,21,2126442882953,25,2
23,1687,8,99,2,303,155,301,25,1,5,2121135897138,23,3
17,1213,8,141,2,372,156,452,4,0,21,2126442882953,25,2
17,1210,8,141,2,393,156,463,4,0,21,2126442882953,25,2
16,1008,8,99,2,302,157,353,2,14,7,2124397731802,24,0
17,1212,8,141,2,372,158,254,4,0,21,2126442882953,25,2
17,1622,8,46,2,8,158,596,4,0,21,2126442882953,25,2
17,1729,8,46,2,303,162,57,4,0,21,2126442882953,25,2
17,1312,8,99,2,319,162,590,4,0,21,2126442882953,25,2
17,701,8,135,2,351,162,600,4,0,21,2126442882953,25,2
20,562,8,99,2,302,162,620,21,6,13,2126354892880,9,2
11,445,8,46,2,309,164,287,10,7,16,2129561774359,3,1
17,1480,8,99,2,302,164,432,4,0,21,2126442882953,25,2
17,115,8,141,2,428,166,599,4,0,21,2126442882953,25,2
17,1685,8,141,2,372,168,509,4,0,21,2126442882953,25,2
17,717,8,141,2,372,168,526,4,0,21,2126442882953,25,2
17,1494,8,130,2,197,168,580,4,0,21,2126442882953,25,2
17,1496,8,130,2,346,168,580,4,0,21,2126442882953,25,2
17,1495,8,130,2,197,168,586,4,0,21,2126442882953,25,2
17,1497,8,130,2,197,168,592,4,0,21,2126442882953,25,2
17,1362,9,141,3,380,142,361,4,0,21,2126442882953,25,2
17,150,9,94,3,8,142,369,4,0,21,2126442882953,25,2
12,1760,9,130,3,322,142,383,16,13,14,2129179768024,10,1
20,1757,9,134,3,77,142,394,21,6,13,2126354892880,9,2
17,1587,9,46,3,432,152,339,4,0,21,2126442882953,25,2
17,441,9,130,3,8,152,339,4,0,21,2126442882953,25,2
5,242,9,46,3,69,155,643,11,2,8,2123731667078,19,0
20,103,9,99,3,310,157,356,21,6,13,2126354892880,9,2
17,1447,9,130,3,401,162,597,4,0,21,2126442882953,25,2
17,444,9,141,3,430,162,626,4,0,21,2126442882953,25,2
17,1805,9,46,3,70,166,596,4,0,21,2126442882953,25,2
17,1797,9,46,3,386,166,598,4,0,21,2126442882953,25,2
17,12,9,46,3,150,168,246,4,0,21,2126442882953,25,2
17,1019,9,141,3,62,168,352,4,0,21,2126442882953,25,2
6,1196,2,57,14,98,422,415,7,4,2,2127308767779,6,2
8,601,2,57,14,346,423,291,24,15,12,2128519988424,15,1
14,37,2,116,14,346,423,295,8,16,25,2128451626108,20,1
8,1704,2,134,14,346,423,300,24,15,12,2128519988424,15,1
6,1549,2,134,14,346,423,302,7,4,2,2127308767779,6,2
8,1028,2,134,14,346,423,304,24,15,12,2128519988424,15,1
20,563,2,67,14,100,423,334,21,6,13,2126354892880,9,2
6,1445,2,134,14,346,423,369,7,4,2,2127308767779,6,2
6,1682,2,134,14,346,424,335,7,4,2,2127308767779,6,2
6,1185,2,80,14,346,425,643,7,4,2,2127308767779,6,2
6,852,2,46,14,346,425,646,7,4,2,2127308767779,6,2
6,1180,2,46,14,83,425,649,7,4,2,2127308767779,6,2
6,1458,2,46,14,23,426,600,7,4,2,2127308767779,6,2
8,763,2,57,14,405,426,606,24,15,12,2128519988424,15,1
14,1376,2,118,14,30,428,327,8,16,25,2128451626108,20,1
6,744,2,46,14,40,430,239,7,4,2,2127308767779,6,2
14,752,2,80,14,408,437,10,8,16,25,2128451626108,20,1
14,753,2,141,14,71,437,12,8,16,25,2128451626108,20,1
14,212,2,141,14,372,439,644,8,16,25,2128451626108,20,1
8,301,2,57,14,346,439,647,24,15,12,2128519988424,15,1
6,1181,2,80,14,119,443,459,7,4,2,2127308767779,6,2
14,473,2,130,14,8,443,462,8,16,25,2128451626108,20,1
6,1822,2,46,14,66,449,373,7,4,2,2127308767779,6,2
14,1732,2,149,14,46,452,634,8,16,25,2128451626108,20,1
14,274,2,130,14,347,452,640,8,16,25,2128451626108,20,1
6,1823,2,32,14,334,454,294,7,4,2,2127308767779,6,2
6,329,2,33,14,270,454,541,7,4,2,2127308767779,6,2
6,1184,2,80,14,119,454,635,7,4,2,2127308767779,6,2
8,317,2,57,14,154,455,184,24,15,12,2128519988424,15,1
14,1017,2,14,14,346,455,185,8,16,25,2128451626108,20,1
6,1335,2,57,14,405,461,389,7,4,2,2127308767779,6,2
6,327,2,0,14,144,463,601,7,4,2,2127308767779,6,2
14,287,2,32,14,8,465,555,8,16,25,2128451626108,20,1
6,328,2,80,14,119,466,368,7,4,2,2127308767779,6,2
8,300,2,57,14,405,466,561,24,15,12,2128519988424,15,1
14,286,2,3,14,48,467,354,8,16,25,2128451626108,20,1
14,282,2,112,14,346,471,625,8,16,25,2128451626108,20,1
6,406,2,41,14,284,473,479,7,4,2,2127308767779,6,2
14,283,2,13,14,302,473,481,8,16,25,2128451626108,20,1
11,70,2,112,14,369,476,301,10,7,16,2129561774359,3,1
6,1752,2,7,14,156,477,346,7,4,2,2127308767779,6,2
6,1047,2,80,14,409,479,191,7,4,2,2127308767779,6,2
14,315,2,10,14,162,479,193,8,16,25,2128451626108,20,1
8,1683,2,141,14,372,481,371,24,15,12,2128519988424,15,1
14,285,2,146,14,375,485,508,8,16,25,2128451626108,20,1
8,1790,2,0,14,86,493,148,24,15,12,2128519988424,15,1
8,298,2,5,14,346,493,290,24,15,12,2128519988424,15,1
8,1801,2,141,14,372,493,295,24,15,12,2128519988424,15,1
14,194,2,32,14,8,493,566,8,16,25,2128451626108,20,1
14,279,2,4,14,34,494,617,8,16,25,2128451626108,20,1
14,281,2,4,14,346,494,618,8,16,25,2128451626108,20,1
6,293,2,135,14,346,495,149,7,4,2,2127308767779,6,2
14,280,2,3,14,78,495,197,8,16,25,2128451626108,20,1
14,1168,2,134,14,23,495,634,8,16,25,2128451626108,20,1
6,1539,2,4,14,346,495,651,7,4,2,2127308767779,6,2
8,1135,2,57,14,412,498,269,24,15,12,2128519988424,15,1
6,756,2,1,14,240,501,250,7,4,2,2127308767779,6,2
6,894,2,80,14,158,501,280,7,4,2,2127308767779,6,2
14,1293,2,80,14,189,510,334,8,16,25,2128451626108,20,1
14,543,2,146,14,71,510,335,8,16,25,2128451626108,20,1
6,1299,2,80,14,408,510,337,7,4,2,2127308767779,6,2
6,1186,2,13,14,346,511,488,7,4,2,2127308767779,6,2
6,1049,2,13,14,346,511,503,7,4,2,2127308767779,6,2
6,1297,2,80,14,119,512,570,7,4,2,2127308767779,6,2
6,895,2,85,14,346,516,318,7,4,2,2127308767779,6,2
6,1294,2,80,14,189,517,500,7,4,2,2127308767779,6,2
6,1298,2,80,14,138,520,630,7,4,2,2127308767779,6,2
6,1292,2,89,14,159,523,227,7,4,2,2127308767779,6,2
6,294,2,135,14,346,523,230,7,4,2,2127308767779,6,2
8,1136,2,57,14,188,526,355,24,15,12,2128519988424,15,1
14,1802,2,141,14,396,526,432,8,16,25,2128451626108,20,1
6,1295,2,80,14,119,529,309,7,4,2,2127308767779,6,2
14,313,2,141,14,372,529,311,8,16,25,2128451626108,20,1
14,896,2,80,14,138,529,331,8,16,25,2128451626108,20,1
14,292,2,146,14,372,534,612,8,16,25,2128451626108,20,1
8,1344,2,141,14,372,534,646,24,15,12,2128519988424,15,1
14,1383,2,12,14,346,534,656,8,16,25,2128451626108,20,1
6,407,2,13,14,63,539,156,7,4,2,2127308767779,6,2
6,183,2,100,14,346,542,298,7,4,2,2127308767779,6,2
6,680,2,80,14,346,542,309,7,4,2,2127308767779,6,2
6,1627,2,8,14,346,542,365,7,4,2,2127308767779,6,2
6,679,2,134,14,346,544,489,7,4,2,2127308767779,6,2
14,284,2,141,14,372,546,231,8,16,25,2128451626108,20,1
6,1300,2,80,14,346,546,630,7,4,2,2127308767779,6,2
6,594,2,57,14,414,547,266,7,4,2,2127308767779,6,2
14,291,2,141,14,372,553,43,8,16,25,2128451626108,20,1
6,1183,2,103,14,346,553,43,7,4,2,2127308767779,6,2
6,47,2,6,14,346,554,501,7,4,2,2127308767779,6,2
8,60,2,9,14,346,555,404,24,15,12,2128519988424,15,1
6,1131,2,43,14,422,558,299,7,4,2,2127308767779,6,2
8,7,2,57,14,412,558,616,24,15,12,2128519988424,15,1
6,1138,2,57,14,346,563,518,7,4,2,2127308767779,6,2
8,713,2,57,14,346,564,640,24,15,12,2128519988424,15,1
6,1296,2,80,14,189,564,641,7,4,2,2127308767779,6,2
6,1134,2,57,14,346,567,190,7,4,2,2127308767779,6,2
6,1110,2,33,14,241,567,191,7,4,2,2127308767779,6,2
6,782,2,0,14,167,568,35,7,4,2,2127308767779,6,2
8,1803,2,141,14,372,568,586,24,15,12,2128519988424,15,1
14,1794,2,134,14,346,570,597,8,16,25,2128451626108,20,1
14,1073,2,0,14,188,571,663,8,16,25,2128451626108,20,1
8,1133,2,57,14,401,574,151,24,15,12,2128519988424,15,1
8,1137,2,57,14,405,576,216,24,15,12,2128519988424,15,1
14,290,2,134,14,346,577,147,8,16,25,2128451626108,20,1
6,964,2,134,14,346,581,458,7,4,2,2127308767779,6,2
14,1799,2,141,14,346,583,521,8,16,25,2128451626108,20,1
8,1139,2,134,14,346,588,577,24,15,12,2128519988424,15,1
6,373,2,0,14,413,589,485,7,4,2,2127308767779,6,2
8,408,2,141,14,346,591,469,24,15,12,2128519988424,15,1
6,1386,2,57,14,346,592,371,7,4,2,2127308767779,6,2
6,1556,2,134,14,346,593,162,7,4,2,2127308767779,6,2
8,1806,2,141,14,346,596,424,24,15,12,2128519988424,15,1
11,388,4,78,5,401,1,401,10,7,16,2129561774359,3,1
11,61,4,135,5,37,1,407,10,7,16,2129561774359,3,1
11,492,4,94,5,425,1,413,10,7,16,2129561774359,3,1
11,387,4,78,5,8,2,283,10,7,16,2129561774359,3,1
11,419,4,130,5,403,2,527,10,7,16,2129561774359,3,1
11,1140,4,141,5,372,3,578,10,7,16,2129561774359,3,1
5,637,4,80,5,299,4,357,11,2,8,2123731667078,19,0
5,1574,4,95,5,299,4,362,11,2,8,2123731667078,19,0
5,1333,4,95,5,299,4,365,11,2,8,2123731667078,19,0
11,1686,4,141,5,372,4,367,10,7,16,2129561774359,3,1
11,261,4,95,5,287,4,370,10,7,16,2129561774359,3,1
11,1178,4,95,5,287,4,604,10,7,16,2129561774359,3,1
11,1053,4,141,5,151,5,275,10,7,16,2129561774359,3,1
11,1051,4,141,5,151,5,279,10,7,16,2129561774359,3,1
11,1052,4,141,5,46,5,398,10,7,16,2129561774359,3,1
11,1054,4,141,5,46,5,400,10,7,16,2129561774359,3,1
11,185,4,141,5,372,7,388,10,7,16,2129561774359,3,1
11,425,4,130,5,150,12,406,10,7,16,2129561774359,3,1
11,420,4,94,5,8,15,588,10,7,16,2129561774359,3,1
11,508,4,80,5,137,19,292,10,7,16,2129561774359,3,1
11,131,4,130,5,144,19,294,10,7,16,2129561774359,3,1
11,1308,4,130,5,347,28,311,10,7,16,2129561774359,3,1
11,424,4,130,5,8,28,314,10,7,16,2129561774359,3,1
11,186,4,141,5,372,28,343,10,7,16,2129561774359,3,1
11,631,4,141,5,346,29,426,10,7,16,2129561774359,3,1
11,1269,4,141,5,372,34,416,10,7,16,2129561774359,3,1
11,1349,4,141,5,372,37,289,10,7,16,2129561774359,3,1
11,365,4,130,5,401,69,372,10,7,16,2129561774359,3,1
11,1530,4,99,5,319,69,375,10,7,16,2129561774359,3,1
11,1639,4,135,5,437,69,380,10,7,16,2129561774359,3,1
11,1449,4,135,5,429,69,383,10,7,16,2129561774359,3,1
11,1449,4,135,5,429,69,384,10,7,16,2129561774359,3,1
17,1214,4,94,5,346,142,348,4,0,21,2126442882953,25,2
11,1862,4,130,5,49,151,284,10,7,16,2129561774359,3,1
11,1206,4,46,5,23,151,287,10,7,16,2129561774359,3,1
11,1811,4,80,5,410,151,289,10,7,16,2129561774359,3,1
11,1126,4,135,5,348,151,291,10,7,16,2129561774359,3,1
11,1129,4,141,5,386,151,293,10,7,16,2129561774359,3,1
11,1124,4,95,5,287,151,294,10,7,16,2129561774359,3,1
23,1807,4,95,5,287,151,296,25,1,5,2121135897138,23,3
11,347,4,95,5,168,151,297,10,7,16,2129561774359,3,1
11,1756,4,135,5,177,151,323,10,7,16,2129561774359,3,1
24,450,4,46,5,42,151,326,18,11,15,2122146311357,4,3
5,950,4,46,5,50,151,328,11,2,8,2123731667078,19,0
12,1759,4,141,5,224,151,331,16,13,14,2129179768024,10,1
23,389,4,130,5,401,151,333,25,1,5,2121135897138,23,3
11,171,4,46,5,46,151,335,10,7,16,2129561774359,3,1
11,1275,4,46,5,50,151,337,10,7,16,2129561774359,3,1
11,205,4,141,5,46,151,339,10,7,16,2129561774359,3,1
11,222,4,135,5,45,151,342,10,7,16,2129561774359,3,1
11,428,4,141,5,49,151,344,10,7,16,2129561774359,3,1
11,431,4,135,5,37,165,627,10,7,16,2129561774359,3,1
11,850,4,95,5,287,165,629,10,7,16,2129561774359,3,1
5,1579,4,116,5,42,165,633,11,2,8,2123731667078,19,0
11,346,4,130,5,401,165,635,10,7,16,2129561774359,3,1
11,1809,4,130,5,3,165,638,10,7,16,2129561774359,3,1
11,25,4,116,5,401,165,639,10,7,16,2129561774359,3,1
11,23,4,116,5,401,165,640,10,7,16,2129561774359,3,1
11,24,4,116,5,401,165,646,10,7,16,2129561774359,3,1
11,518,4,130,5,82,165,648,10,7,16,2129561774359,3,1
11,1123,4,99,5,325,168,582,10,7,16,2129561774359,3,1
11,465,4,135,5,245,181,217,10,7,16,2129561774359,3,1
11,509,4,130,5,46,181,219,10,7,16,2129561774359,3,1
11,1270,4,135,5,358,181,221,10,7,16,2129561774359,3,1
11,1812,4,135,5,363,181,234,10,7,16,2129561774359,3,1
11,351,4,46,5,192,181,236,10,7,16,2129561774359,3,1
11,1581,4,116,5,253,181,238,10,7,16,2129561774359,3,1
24,250,4,141,5,421,181,240,18,11,15,2122146311357,4,3
11,1641,4,141,5,179,181,250,10,7,16,2129561774359,3,1
11,851,4,95,5,287,181,310,10,7,16,2129561774359,3,1
11,1238,4,46,5,8,203,306,10,7,16,2129561774359,3,1
11,422,4,46,5,8,203,308,10,7,16,2129561774359,3,1
11,429,4,130,5,343,203,312,10,7,16,2129561774359,3,1
11,1588,4,46,5,50,203,317,10,7,16,2129561774359,3,1
11,423,4,46,5,52,203,319,10,7,16,2129561774359,3,1
11,350,4,141,5,55,203,322,10,7,16,2129561774359,3,1
